就职岗位,专业课101,专业课102,专业课103,专业课104,专业课105,专业课106,专业课107,专业课108,专业课109,专业课110,专业课111,专业课112
云计算开发工程师,1,2,1,3,0,0,0,0,0,0,0,0
云计算运维工程师,2,2,2,3,0,0,0,0,0,0,0,0
云计算架构工程师,3,4,2,2,0,0,0,0,0,0,0,0
java开发工程师,1,1,2,1,0,0,0,0,0,0,0,0
java架构工程师,0,0,0,0,1,2,1,3,0,0,0,0
大数据开发工程师,0,0,0,0,2,2,2,3,0,0,0,0
大数据运维工程师,0,0,0,0,3,4,2,2,0,0,0,0
数据库开发工程师,0,0,0,0,1,1,2,1,0,0,0,0
数据库架构工程师,0,0,0,0,0,0,0,0,1,2,1,3
大数据开发工程师,0,0,0,0,0,0,0,0,2,2,2,3
大数据运维工程师,0,0,0,0,0,0,0,0,3,4,2,2
大数据架构工程师,0,0,0,0,0,0,0,0,1,1,2,1
